Season,TEAM,Playoffs,W,L,NOG,WR,PTS,oppPTS,ALL A,ALL G,ALL S,X2 A,X2 G,X2 S,X3 A,X3 G,X3 S,FT A,FT G,FT S,Rebounds,ORB,DRB,AST,STL,BLK,TOV,FOUL
2017,Milwaukee Bucks,1,42,40,82,0.51 ,103.6,103.8,0.47 ,38.8,81.9,0.52 ,30,58.2,0.37 ,8.8,23.7,0.77 ,17.2,22.4,40.4,8.8,31.6,24.2,8.1,5.4,13.4,20.3
2017,Minnesota Timberwolves,0,31,51,82,0.38 ,105.6,106.7,0.47 ,39.5,84.4,0.51 ,32.2,63.4,0.35 ,7.3,21,0.80 ,19.3,24.2,42.5,11.5,31,23.7,8,4.5,13.5,20.1
2017,New Jersey Nets,0,20,62,82,0.24 ,105.8,112.5,0.44 ,37.8,85.2,0.51 ,27.1,53.6,0.34 ,10.7,31.6,0.79 ,19.4,24.6,43.9,8.8,35.1,21.4,7.3,4.7,15.9,21
2017,New Orleans Pelicans,0,34,48,82,0.41 ,104.3,106.4,0.45 ,39.1,87,0.49 ,29.7,60.2,0.35 ,9.4,26.8,0.75 ,16.7,22.3,43.8,8.7,35.1,22.8,7.8,5.6,12.3,18.2
2017,New York Knicks,0,31,51,82,0.38 ,104.3,108,0.45 ,39.6,88.4,0.49 ,31,63.8,0.35 ,8.6,24.6,0.79 ,16.6,21.1,45.1,12,33.2,21.8,7.1,5.5,13.2,20.3
2017,Oklahoma City Thunder,1,47,35,82,0.57 ,106.6,105.8,0.45 ,39.5,87.4,0.50 ,31.1,61.6,0.33 ,8.4,25.8,0.75 ,19.2,25.8,46.7,12.3,34.4,21,7.9,5.1,14.6,20.9
2017,Orlando Magic,0,29,53,82,0.35 ,101.1,107.6,0.44 ,38.3,87,0.49 ,29.8,60.9,0.33 ,8.5,26.1,0.75 ,16,21.4,43.2,9.9,33.4,22.2,7.1,4.9,12.9,19.3
2017,Philadelphia 76ers,0,28,54,82,0.34 ,102.4,108.1,0.44 ,37.7,85.2,0.50 ,27.6,55.4,0.34 ,10.1,29.8,0.77 ,17,22,42.8,9.8,33,23.8,8.5,5.1,16,21.9
2017,Phoenix Suns,0,24,58,82,0.29 ,107.7,113.3,0.45 ,39.9,88.5,0.49 ,32.4,65.9,0.33 ,7.5,22.6,0.78 ,20.4,26.3,45,11.9,33,19.6,8.2,4.9,14.9,24.8
2017,Portland Trail Blazers,1,41,41,82,0.50 ,107.9,108.5,0.46 ,39.5,86.1,0.50 ,29.1,58.4,0.38 ,10.4,27.7,0.78 ,18.5,23.7,43.6,10.1,33.5,21.1,7,5,13.1,21.2
2017,San Antonio Spurs,1,61,21,82,0.74 ,105.3,98.1,0.47 ,39.3,83.7,0.50 ,30.1,60.2,0.39 ,9.2,23.5,0.80 ,17.6,22,43.9,10,33.8,23.8,8,5.9,12.9,18.3
2017,Toronto Raptors,1,51,31,82,0.62 ,106.9,102.6,0.46 ,39.2,84.4,0.51 ,30.4,60.1,0.36 ,8.8,24.3,0.80 ,19.7,24.7,43.2,10.6,32.6,18.5,8.3,4.9,11.8,20.8
2017,Utah Jazz,1,51,31,82,0.62 ,100.7,96.8,0.47 ,37,79.4,0.51 ,27.4,53.4,0.37 ,9.6,26,0.75 ,17.1,22.9,43.3,9.4,33.9,20.1,6.7,5,13,18.8
2017,Washington Wizards,1,49,33,82,0.60 ,109.2,107.4,0.48 ,41.3,87,0.52 ,32.1,62.2,0.37 ,9.2,24.8,0.78 ,17.3,22.1,42.8,10.3,32.6,23.9,8.5,4.2,13.4,21.3
2018,Atlanta Hawks,0,24,58,82,0.29 ,103.4,108.8,0.45 ,38.2,85.6,0.49 ,27,54.6,0.36 ,11.2,31,0.79 ,15.8,20.2,41.9,9,32.8,23.7,7.8,4.2,15,19.6
2018,Boston Celtics,1,55,27,82,0.67 ,104,100.4,0.45 ,38.3,85,0.49 ,26.8,54.6,0.38 ,11.5,30.4,0.77 ,16,20.7,44.5,9.4,35.1,22.5,7.4,4.6,13.4,19.7
2018,Charlotte Hornets,0,36,46,82,0.44 ,108.2,108,0.45 ,39,86.6,0.49 ,29,59.4,0.37 ,10,27.2,0.75 ,20.2,27,45.4,10,35.4,21.6,6.8,4.6,12.3,17.2
2018,Chicago Bulls,0,27,55,82,0.33 ,102.9,110,0.44 ,38.7,88.8,0.48 ,27.6,57.7,0.36 ,11.1,31.1,0.76 ,14.6,19.2,44.7,9.6,35.1,23.5,7.6,3.5,13.3,19.2
2018,Cleveland Cavaliers,1,50,32,82,0.61 ,110.9,109.9,0.48 ,40.4,84.8,0.54 ,28.4,52.7,0.37 ,12,32.1,0.78 ,18.1,23.3,42.1,8.5,33.6,23.4,7.1,3.8,13.3,18.6
2018,Dallas Mavericks,0,24,58,82,0.29 ,102.3,105.4,0.44 ,38.1,85.9,0.50 ,26.3,53.1,0.36 ,11.8,32.8,0.76 ,14.2,18.6,41.3,8.1,33.1,22.7,7,3.7,11.8,19.2
2018,Denver Nuggets,0,46,36,82,0.56 ,110,108.5,0.47 ,40.7,86.6,0.52 ,29.2,55.7,0.37 ,11.5,30.9,0.77 ,17.1,22.4,44.5,11,33.5,25.1,7.7,4.9,14.3,18.7
2018,Detroit Pistons,0,39,43,82,0.48 ,103.8,103.9,0.45 ,39.1,86.9,0.49 ,28.3,58,0.37 ,10.8,28.9,0.75 ,14.7,19.7,43.7,10.1,33.6,22.8,7.7,3.9,12.8,18.4
2018,Golden State Warriors,1,58,24,82,0.71 ,113.5,107.5,0.50 ,42.8,85.1,0.56 ,31.5,56.2,0.39 ,11.3,28.9,0.82 ,16.6,20.3,43.5,8.5,35.1,29.3,8,7.5,15,19.6
2018,Houston Rockets,1,65,17,82,0.79 ,112.4,103.9,0.46 ,38.7,84.2,0.56 ,23.4,41.9,0.36 ,15.3,42.3,0.78 ,19.6,25.1,43.5,9,34.5,21.5,8.5,4.8,13.3,19.5
2018,Indiana Pacers,1,48,34,82,0.59 ,105.6,104.2,0.47 ,40.8,86.4,0.51 ,31.8,61.9,0.37 ,9,24.5,0.78 ,14.9,19.2,42.4,9.6,32.8,22.2,8.8,4.2,12.8,18.8
